pokemon,ability,is_hidden,slot,description
klawf,Anger Shell,No,1,"When the Pokémon's HP drops below half, Anger Shell lowers its Defense and Special Defense but its Attack, Special Attack and Speed are raised."
klawf,Shell Armor,No,2,Protects against critical hits.
klawf,Regenerator,Yes,3,Heals for 1/3 max HP upon switching out.
capsakid,Chlorophyll,No,1,Doubles Speed during strong sunlight.
capsakid,Insomnia,No,2,Prevents sleep.
capsakid,Klutz,Yes,3,Prevents the Pokémon from using its held item in battle.
scovillain,Chlorophyll,No,1,Doubles Speed during strong sunlight.
scovillain,Insomnia,No,2,Prevents sleep.
scovillain,Moody,Yes,3,Raises a random stat two stages and lowers another one stage after each turn.
rellor,Compound Eyes,No,1,Increases moves' accuracy to 1.3×.
rellor,Shed Skin,Yes,3,Has a 33% chance of curing any major status ailment after each turn.
rabsca,Synchronize,No,1,"Copies burns, paralysis, and poison received onto the Pokémon that inflicted them."
rabsca,Telepathy,Yes,3,Protects against friendly Pokémon's damaging moves.
flittle,Anticipation,No,1,"Notifies all trainers upon entering battle if an opponent has a super-effective move, self destruct, explosion, or a one-hit KO move."
flittle,Frisk,No,2,Reveals an opponent's held item upon entering battle.
flittle,Speed Boost,Yes,3,Raises Speed one stage after each turn.
espathra,Opportunist,No,1,Copies stat boosts by the opponent.
espathra,Frisk,No,2,Reveals an opponent's held item upon entering battle.
espathra,Speed Boost,Yes,3,Raises Speed one stage after each turn.
tinkatink,Mold Breaker,No,1,Bypasses targets' abilities if they could hinder or prevent a move.
tinkatink,Own Tempo,No,2,Prevents confusion.
tinkatink,Pickpocket,Yes,3,Steals attacking Pokémon's held items on contact.
tinkatuff,Mold Breaker,No,1,Bypasses targets' abilities if they could hinder or prevent a move.
tinkatuff,Own Tempo,No,2,Prevents confusion.
tinkatuff,Pickpocket,Yes,3,Steals attacking Pokémon's held items on contact.
tinkaton,Mold Breaker,No,1,Bypasses targets' abilities if they could hinder or prevent a move.
tinkaton,Own Tempo,No,2,Prevents confusion.
tinkaton,Pickpocket,Yes,3,Steals attacking Pokémon's held items on contact.
wiglett,Gooey,No,1,Lowers attacking Pokémon's Speed by one stage on contact.
wiglett,Rattled,No,2,"Raises Speed one stage upon being hit by a dark, ghost, or bug move."
wiglett,Sand Veil,Yes,3,Increases evasion to 1.25× during a sandstorm.  Protects against sandstorm damage.
wugtrio,Gooey,No,1,Lowers attacking Pokémon's Speed by one stage on contact.
wugtrio,Rattled,No,2,"Raises Speed one stage upon being hit by a dark, ghost, or bug move."
wugtrio,Sand Veil,Yes,3,Increases evasion to 1.25× during a sandstorm.  Protects against sandstorm damage.
bombirdier,Big Pecks,No,1,Protects against Defense drops.
bombirdier,Keen Eye,No,2,Prevents accuracy from being lowered.
bombirdier,Rocky Payload,Yes,3,Powers up Rock-type moves.
finizen,Water Veil,No,1,Prevents burns.
palafin-zero,Zero To Hero,No,1,Transforms into its Hero Form when switching out.
varoom,Overcoat,No,1,Protects against damage from weather.
varoom,Slow Start,Yes,3,Halves Attack and Speed for five turns upon entering battle.
revavroom,Overcoat,No,1,Protects against damage from weather.
revavroom,Filter,Yes,3,Decreases damage taken from super-effective moves by 1/4.
cyclizar,Shed Skin,No,1,Has a 33% chance of curing any major status ailment after each turn.
cyclizar,Regenerator,Yes,3,Heals for 1/3 max HP upon switching out.
orthworm,Earth Eater,No,1,Restores HP when hit by a Ground-type move.
orthworm,Sand Veil,Yes,3,Increases evasion to 1.25× during a sandstorm.  Protects against sandstorm damage.
glimmet,Toxic Debris,No,1,Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.
glimmet,Corrosion,Yes,3,This Pokémon can inflict poison on Poison and Steel Pokémon.
glimmora,Toxic Debris,No,1,Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.
glimmora,Corrosion,Yes,3,This Pokémon can inflict poison on Poison and Steel Pokémon.
greavard,Pickup,No,1,Picks up other Pokémon's used and Flung held items.  May also pick up an item after battle.
greavard,Fluffy,Yes,3,Damage from contact moves is halved.  Damage from Fire moves is doubled.
houndstone,Sand Rush,No,1,Doubles Speed during a sandstorm.  Protects against sandstorm damage.
houndstone,Fluffy,Yes,3,Damage from contact moves is halved.  Damage from Fire moves is doubled.
flamigo,Scrappy,No,1,Lets the Pokémon's normal and fighting moves hit ghost Pokémon.
flamigo,Tangled Feet,No,2,Doubles evasion when confused.
flamigo,Costar,Yes,3,Copies ally's stat changes on entering battle.
cetoddle,Thick Fat,No,1,Halves damage from fire and ice moves.
cetoddle,Snow Cloak,No,2,Increases evasion to 1.25× during hail.  Protects against hail damage.
cetoddle,Sheer Force,Yes,3,"Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects."
cetitan,Thick Fat,No,1,Halves damage from fire and ice moves.
cetitan,Slush Rush,No,2,"During Hail, this Pokémon has double Speed."
cetitan,Sheer Force,Yes,3,"Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects."
veluza,Mold Breaker,No,1,Bypasses targets' abilities if they could hinder or prevent a move.
veluza,Sharpness,Yes,3,Powers up slicing moves.
dondozo,Unaware,No,1,Ignores other Pokémon's stat modifiers for damage and accuracy calculation.
dondozo,Oblivious,No,2,Prevents infatuation and protects against captivate.
dondozo,Water Veil,Yes,3,Prevents burns.
tatsugiri-curly,Commander,No,1,Goes inside the mouth of an ally Dondozo if one is on the field.
tatsugiri-curly,Storm Drain,Yes,3,"Redirects single-target water moves to this Pokémon where possible.  Absorbs Water moves, raising Special Attack one stage."
annihilape,Vital Spirit,No,1,Prevents sleep.
annihilape,Inner Focus,No,2,Prevents flinching.
annihilape,Defiant,Yes,3,Raises Attack two stages upon having any stat lowered.
clodsire,Poison Point,No,1,Has a 30% chance of poisoning attacking Pokémon on contact.
clodsire,Water Absorb,No,2,"Absorbs water moves, healing for 1/4 max HP."
clodsire,Unaware,Yes,3,Ignores other Pokémon's stat modifiers for damage and accuracy calculation.
farigiraf,Cud Chew,No,1,Causes the Pokémon to reuse an already consumed Berry at the end of the next turn.
farigiraf,Armor Tail,No,2,"Prevents the opponent from using any moves that have priority, such as Quick Attack."
farigiraf,Sap Sipper,Yes,3,"Absorbs grass moves, raising Attack one stage."
dudunsparce-two-segment,Serene Grace,No,1,Doubles the chance of moves' extra effects occurring.
dudunsparce-two-segment,Run Away,No,2,Ensures success fleeing from wild battles.
dudunsparce-two-segment,Rattled,Yes,3,"Raises Speed one stage upon being hit by a dark, ghost, or bug move."
kingambit,Defiant,No,1,Raises Attack two stages upon having any stat lowered.
kingambit,Supreme Overlord,No,2,Attack and Special Attack are boosted for each party Pokémon that has been defeated.
kingambit,Pressure,Yes,3,Increases the PP cost of moves targetting the Pokémon by one.
great-tusk,Protosynthesis,No,1,"Raises highest stat in harsh sunlight, or if holding Booster Energy."
scream-tail,Protosynthesis,No,1,"Raises highest stat in harsh sunlight, or if holding Booster Energy."
brute-bonnet,Protosynthesis,No,1,"Raises highest stat in harsh sunlight, or if holding Booster Energy."
flutter-mane,Protosynthesis,No,1,"Raises highest stat in harsh sunlight, or if holding Booster Energy."
slither-wing,Protosynthesis,No,1,"Raises highest stat in harsh sunlight, or if holding Booster Energy."
sandy-shocks,Protosynthesis,No,1,"Raises highest stat in harsh sunlight, or if holding Booster Energy."
iron-treads,Quark Drive,No,1,"Raises highest stat on Electric Terrain, or if holding Booster Energy."
iron-bundle,Quark Drive,No,1,"Raises highest stat on Electric Terrain, or if holding Booster Energy."
iron-hands,Quark Drive,No,1,"Raises highest stat on Electric Terrain, or if holding Booster Energy."
iron-jugulis,Quark Drive,No,1,"Raises highest stat on Electric Terrain, or if holding Booster Energy."
iron-moth,Quark Drive,No,1,"Raises highest stat on Electric Terrain, or if holding Booster Energy."
iron-thorns,Quark Drive,No,1,"Raises highest stat on Electric Terrain, or if holding Booster Energy."
frigibax,Thermal Exchange,No,1,Raises Attack when hit by a Fire-type move. Cannot be burned.
frigibax,Ice Body,Yes,3,Heals for 1/16 max HP after each turn during hail.  Protects against hail damage.
arctibax,Thermal Exchange,No,1,Raises Attack when hit by a Fire-type move. Cannot be burned.
arctibax,Ice Body,Yes,3,Heals for 1/16 max HP after each turn during hail.  Protects against hail damage.
baxcalibur,Thermal Exchange,No,1,Raises Attack when hit by a Fire-type move. Cannot be burned.
baxcalibur,Ice Body,Yes,3,Heals for 1/16 max HP after each turn during hail.  Protects against hail damage.
gimmighoul,Rattled,No,1,"Raises Speed one stage upon being hit by a dark, ghost, or bug move."
gholdengo,Good As Gold,No,1,Gives immunity to status moves.
wo-chien,Tablets Of Ruin,No,1,Lowers Attack of all Pokémon except itself.
chien-pao,Sword Of Ruin,No,1,Lowers Defense of all Pokémon except itself.
ting-lu,Vessel Of Ruin,No,1,Lowers Special Attack of all Pokémon except itself.
chi-yu,Beads Of Ruin,No,1,Lowers Special Defense of all Pokémon except itself.
roaring-moon,Protosynthesis,No,1,"Raises highest stat in harsh sunlight, or if holding Booster Energy."
iron-valiant,Quark Drive,No,1,"Raises highest stat on Electric Terrain, or if holding Booster Energy."
koraidon,Orichalcum Pulse,No,1,"Turns the sunlight harsh when entering battle, and boosts Attack while active."
miraidon,Hadron Engine,No,1,"Creates an Electric Terrain when entering battle, and boosts Special Attack while active."
walking-wake,Protosynthesis,No,1,"Raises highest stat in harsh sunlight, or if holding Booster Energy."
iron-leaves,Quark Drive,No,1,"Raises highest stat on Electric Terrain, or if holding Booster Energy."
dipplin,Supersweet Syrup,No,1,"Once per battle, when a Pokémon with Supersweet Syrup enters the battle, it lowers the evasion stat of all adjacent opponents by one stage. "
dipplin,Gluttony,No,2,Makes the Pokémon eat any held Berry triggered by low HP below 1/2 its max HP.
dipplin,Sticky Hold,Yes,3,Prevents a held item from being removed by other Pokémon.
poltchageist,Hospitality,No,1,"When a Pokémon with Hospitality enters a battle, it restores HP for an ally by 25%."
poltchageist,Heatproof,Yes,3,Halves damage from fire moves and burns.
sinistcha,Hospitality,No,1,"When a Pokémon with Hospitality enters a battle, it restores HP for an ally by 25%."
sinistcha,Heatproof,Yes,3,Halves damage from fire moves and burns.
okidogi,Toxic Chain,No,1,May cause bad poisoning when the Pokémon hits an opponent with a move.
okidogi,Guard Dog,Yes,3,"Boosts Attack if intimidated, and prevents being forced to switch out."
munkidori,Toxic Chain,No,1,May cause bad poisoning when the Pokémon hits an opponent with a move.
munkidori,Frisk,Yes,3,Reveals an opponent's held item upon entering battle.
fezandipiti,Toxic Chain,No,1,May cause bad poisoning when the Pokémon hits an opponent with a move.
fezandipiti,Technician,Yes,3,Strengthens moves of 60 base power or less to 1.5× their power.
ogerpon,Defiant,No,1,Raises Attack two stages upon having any stat lowered.
archaludon,Stamina,No,1,Raises this Pokémon's Defense by one stage when it takes damage from a move.
archaludon,Sturdy,No,2,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
archaludon,Stalwart,Yes,3,Ignores moves and abilities that draw in moves.
hydrapple,Supersweet Syrup,No,1,"Once per battle, when a Pokémon with Supersweet Syrup enters the battle, it lowers the evasion stat of all adjacent opponents by one stage. "
hydrapple,Regenerator,No,2,Heals for 1/3 max HP upon switching out.
hydrapple,Sticky Hold,Yes,3,Prevents a held item from being removed by other Pokémon.
gouging-fire,Protosynthesis,No,1,"Raises highest stat in harsh sunlight, or if holding Booster Energy."
raging-bolt,Protosynthesis,No,1,"Raises highest stat in harsh sunlight, or if holding Booster Energy."
iron-boulder,Quark Drive,No,1,"Raises highest stat on Electric Terrain, or if holding Booster Energy."
iron-crown,Quark Drive,No,1,"Raises highest stat on Electric Terrain, or if holding Booster Energy."
terapagos,Tera Shift,No,1,"When Terapagos enters the battle, it turns into its Terastal Form until the end of the battle. "
pecharunt,Poison Puppeteer,No,1,Pokémon poisoned by Pecharunt's moves will also become confused.
deoxys-attack,Pressure,No,1,Increases the PP cost of moves targetting the Pokémon by one.
deoxys-defense,Pressure,No,1,Increases the PP cost of moves targetting the Pokémon by one.
deoxys-speed,Pressure,No,1,Increases the PP cost of moves targetting the Pokémon by one.
wormadam-sandy,Anticipation,No,1,"Notifies all trainers upon entering battle if an opponent has a super-effective move, self destruct, explosion, or a one-hit KO move."
wormadam-sandy,Overcoat,Yes,3,Protects against damage from weather.
wormadam-trash,Anticipation,No,1,"Notifies all trainers upon entering battle if an opponent has a super-effective move, self destruct, explosion, or a one-hit KO move."
wormadam-trash,Overcoat,Yes,3,Protects against damage from weather.
shaymin-sky,Serene Grace,No,1,Doubles the chance of moves' extra effects occurring.
giratina-origin,Levitate,No,1,Evades ground moves.
rotom-heat,Levitate,No,1,Evades ground moves.
rotom-wash,Levitate,No,1,Evades ground moves.
rotom-frost,Levitate,No,1,Evades ground moves.
rotom-fan,Levitate,No,1,Evades ground moves.
rotom-mow,Levitate,No,1,Evades ground moves.
castform-sunny,Forecast,No,1,Changes castform's type and form to match the weather.
castform-rainy,Forecast,No,1,Changes castform's type and form to match the weather.
castform-snowy,Forecast,No,1,Changes castform's type and form to match the weather.
basculin-blue-striped,Rock Head,No,1,Protects against recoil damage.
basculin-blue-striped,Adaptability,No,2,Increases the same-type attack bonus from 1.5× to 2×.
basculin-blue-striped,Mold Breaker,Yes,3,Bypasses targets' abilities if they could hinder or prevent a move.
darmanitan-zen,Sheer Force,No,1,"Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects."
darmanitan-zen,Zen Mode,Yes,3,"Changes darmanitan's form after each turn depending on its HP: Zen Mode below 50% max HP, and Standard Mode otherwise."
meloetta-pirouette,Serene Grace,No,1,Doubles the chance of moves' extra effects occurring.
tornadus-therian,Regenerator,No,1,Heals for 1/3 max HP upon switching out.
thundurus-therian,Volt Absorb,No,1,"Absorbs electric moves, healing for 1/4 max HP."
landorus-therian,Intimidate,No,1,Lowers opponents' Attack one stage upon entering battle.
kyurem-black,Teravolt,No,1,Bypasses targets' abilities if they could hinder or prevent moves.
kyurem-white,Turboblaze,No,1,Bypasses targets' abilities if they could hinder or prevent moves.
keldeo-resolute,Justified,No,1,Raises Attack one stage upon taking damage from a dark move.
meowstic-female,Keen Eye,No,1,Prevents accuracy from being lowered.
meowstic-female,Infiltrator,No,2,"Bypasses light screen, reflect, and safeguard."
meowstic-female,Competitive,Yes,3,Raises Special Attack by two stages upon having any stat lowered.
aegislash-blade,Stance Change,No,1,"Changes aegislash to Blade Forme before using a damaging move, or Shield Forme before using kings shield."
pumpkaboo-small,Pickup,No,1,Picks up other Pokémon's used and Flung held items.  May also pick up an item after battle.
pumpkaboo-small,Frisk,No,2,Reveals an opponent's held item upon entering battle.
pumpkaboo-small,Insomnia,Yes,3,Prevents sleep.
pumpkaboo-large,Pickup,No,1,Picks up other Pokémon's used and Flung held items.  May also pick up an item after battle.
pumpkaboo-large,Frisk,No,2,Reveals an opponent's held item upon entering battle.
pumpkaboo-large,Insomnia,Yes,3,Prevents sleep.
pumpkaboo-super,Pickup,No,1,Picks up other Pokémon's used and Flung held items.  May also pick up an item after battle.
pumpkaboo-super,Frisk,No,2,Reveals an opponent's held item upon entering battle.
pumpkaboo-super,Insomnia,Yes,3,Prevents sleep.
gourgeist-small,Pickup,No,1,Picks up other Pokémon's used and Flung held items.  May also pick up an item after battle.
gourgeist-small,Frisk,No,2,Reveals an opponent's held item upon entering battle.
gourgeist-small,Insomnia,Yes,3,Prevents sleep.
gourgeist-large,Pickup,No,1,Picks up other Pokémon's used and Flung held items.  May also pick up an item after battle.
gourgeist-large,Frisk,No,2,Reveals an opponent's held item upon entering battle.
gourgeist-large,Insomnia,Yes,3,Prevents sleep.
gourgeist-super,Pickup,No,1,Picks up other Pokémon's used and Flung held items.  May also pick up an item after battle.
gourgeist-super,Frisk,No,2,Reveals an opponent's held item upon entering battle.
gourgeist-super,Insomnia,Yes,3,Prevents sleep.
venusaur-mega,Thick Fat,No,1,Halves damage from fire and ice moves.
charizard-mega-x,Tough Claws,No,1,Strengthens moves that make contact to 1.33× their power.
charizard-mega-y,Drought,No,1,Summons strong sunlight that lasts indefinitely upon entering battle.
blastoise-mega,Mega Launcher,No,1,Strengthens aura and pulse moves to 1.5× their power.
alakazam-mega,Trace,No,1,Copies an opponent's ability upon entering battle.
gengar-mega,Shadow Tag,No,1,Prevents opponents from fleeing or switching out.
kangaskhan-mega,Parental Bond,No,1,Lets the bearer hit twice with damaging moves.  The second hit has half power.
pinsir-mega,Aerilate,No,1,Turns the bearer's normal moves into flying moves and strengthens them to 1.3× their power.
gyarados-mega,Mold Breaker,No,1,Bypasses targets' abilities if they could hinder or prevent a move.
aerodactyl-mega,Tough Claws,No,1,Strengthens moves that make contact to 1.33× their power.
mewtwo-mega-x,Steadfast,No,1,Raises Speed one stage upon flinching.
mewtwo-mega-y,Insomnia,No,1,Prevents sleep.
ampharos-mega,Mold Breaker,No,1,Bypasses targets' abilities if they could hinder or prevent a move.
scizor-mega,Technician,No,1,Strengthens moves of 60 base power or less to 1.5× their power.
heracross-mega,Skill Link,No,1,Extends two-to-five-hit moves and triple kick to their full length every time.
houndoom-mega,Solar Power,No,1,Increases Special Attack to 1.5× but costs 1/8 max HP after each turn during strong sunlight.
tyranitar-mega,Sand Stream,No,1,Summons a sandstorm that lasts indefinitely upon entering battle.
blaziken-mega,Speed Boost,No,1,Raises Speed one stage after each turn.
gardevoir-mega,Pixilate,No,1,Turns the bearer's normal moves into fairy moves and strengthens them to 1.3× their power.
mawile-mega,Huge Power,No,1,Doubles Attack in battle.
aggron-mega,Filter,No,1,Decreases damage taken from super-effective moves by 1/4.
medicham-mega,Pure Power,No,1,Doubles Attack in battle.
manectric-mega,Intimidate,No,1,Lowers opponents' Attack one stage upon entering battle.
banette-mega,Prankster,No,1,Raises non-damaging moves' priority by one stage.
absol-mega,Magic Bounce,No,1,Reflects most non-damaging moves back at their user.
garchomp-mega,Sand Force,No,1,"Strengthens rock, ground, and steel moves to 1.3× their power during a sandstorm.  Protects against sandstorm damage."
lucario-mega,Adaptability,No,1,Increases the same-type attack bonus from 1.5× to 2×.
abomasnow-mega,Snow Warning,No,1,Summons hail that lasts indefinitely upon entering battle.
floette-eternal,Flower Veil,No,1,Protects friendly grass Pokémon from having their stats lowered by other Pokémon.
floette-eternal,Symbiosis,Yes,3,Passes the bearer's held item to an ally when the ally uses up its item.
latias-mega,Levitate,No,1,Evades ground moves.
latios-mega,Levitate,No,1,Evades ground moves.
swampert-mega,Swift Swim,No,1,Doubles Speed during rain.
sceptile-mega,Lightning Rod,No,1,"Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
sableye-mega,Magic Bounce,No,1,Reflects most non-damaging moves back at their user.
altaria-mega,Pixilate,No,1,Turns the bearer's normal moves into fairy moves and strengthens them to 1.3× their power.
gallade-mega,Inner Focus,No,1,Prevents flinching.
audino-mega,Healer,No,1,Has a 30% chance of curing each adjacent ally of any major status ailment after each turn.
sharpedo-mega,Strong Jaw,No,1,Strengthens biting moves to 1.5× their power.
slowbro-mega,Shell Armor,No,1,Protects against critical hits.
steelix-mega,Sand Force,No,1,"Strengthens rock, ground, and steel moves to 1.3× their power during a sandstorm.  Protects against sandstorm damage."
pidgeot-mega,No Guard,No,1,Ensures all moves used by and against the Pokémon hit.
glalie-mega,Refrigerate,No,1,Turns the bearer's normal moves into ice moves and strengthens them to 1.3× their power.
diancie-mega,Magic Bounce,No,1,Reflects most non-damaging moves back at their user.
metagross-mega,Tough Claws,No,1,Strengthens moves that make contact to 1.33× their power.
kyogre-primal,Primordial Sea,No,1,"Creates heavy rain, which has all the properties of Rain Dance, cannot be replaced, and causes damaging Fire moves to fail."
groudon-primal,Desolate Land,No,1,"Creates extremely harsh sunlight, which has all the properties of Sunny Day, cannot be replaced, and causes damaging Water moves to fail."
rayquaza-mega,Delta Stream,No,1,"Creates a mysterious air current, which cannot be replaced and causes moves to never be super effective against Flying Pokémon."
pikachu-rock-star,Static,No,1,Has a 30% chance of paralyzing attacking Pokémon on contact.
pikachu-rock-star,Lightning Rod,Yes,3,"Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
pikachu-belle,Static,No,1,Has a 30% chance of paralyzing attacking Pokémon on contact.
pikachu-belle,Lightning Rod,Yes,3,"Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
pikachu-pop-star,Static,No,1,Has a 30% chance of paralyzing attacking Pokémon on contact.
pikachu-pop-star,Lightning Rod,Yes,3,"Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
pikachu-phd,Static,No,1,Has a 30% chance of paralyzing attacking Pokémon on contact.
pikachu-phd,Lightning Rod,Yes,3,"Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
pikachu-libre,Static,No,1,Has a 30% chance of paralyzing attacking Pokémon on contact.
pikachu-libre,Lightning Rod,Yes,3,"Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
pikachu-cosplay,Static,No,1,Has a 30% chance of paralyzing attacking Pokémon on contact.
pikachu-cosplay,Lightning Rod,Yes,3,"Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
hoopa-unbound,Magician,No,1,Steals the target's held item when the bearer uses a damaging move.
camerupt-mega,Sheer Force,No,1,"Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects."
lopunny-mega,Scrappy,No,1,Lets the Pokémon's normal and fighting moves hit ghost Pokémon.
salamence-mega,Aerilate,No,1,Turns the bearer's normal moves into flying moves and strengthens them to 1.3× their power.
beedrill-mega,Adaptability,No,1,Increases the same-type attack bonus from 1.5× to 2×.
rattata-alola,Gluttony,No,1,Makes the Pokémon eat any held Berry triggered by low HP below 1/2 its max HP.
rattata-alola,Hustle,No,2,"Strengthens physical moves to inflict 1.5× damage, but decreases their accuracy to 0.8×."
rattata-alola,Thick Fat,Yes,3,Halves damage from fire and ice moves.
raticate-alola,Gluttony,No,1,Makes the Pokémon eat any held Berry triggered by low HP below 1/2 its max HP.
raticate-alola,Hustle,No,2,"Strengthens physical moves to inflict 1.5× damage, but decreases their accuracy to 0.8×."
raticate-alola,Thick Fat,Yes,3,Halves damage from fire and ice moves.
raticate-totem-alola,Gluttony,No,1,Makes the Pokémon eat any held Berry triggered by low HP below 1/2 its max HP.
raticate-totem-alola,Hustle,No,2,"Strengthens physical moves to inflict 1.5× damage, but decreases their accuracy to 0.8×."
raticate-totem-alola,Thick Fat,Yes,3,Halves damage from fire and ice moves.
pikachu-original-cap,Static,No,1,Has a 30% chance of paralyzing attacking Pokémon on contact.
pikachu-original-cap,Lightning Rod,Yes,3,"Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
pikachu-hoenn-cap,Static,No,1,Has a 30% chance of paralyzing attacking Pokémon on contact.
pikachu-hoenn-cap,Lightning Rod,Yes,3,"Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
pikachu-sinnoh-cap,Static,No,1,Has a 30% chance of paralyzing attacking Pokémon on contact.
pikachu-sinnoh-cap,Lightning Rod,Yes,3,"Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
pikachu-unova-cap,Static,No,1,Has a 30% chance of paralyzing attacking Pokémon on contact.
pikachu-unova-cap,Lightning Rod,Yes,3,"Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
pikachu-kalos-cap,Static,No,1,Has a 30% chance of paralyzing attacking Pokémon on contact.
pikachu-kalos-cap,Lightning Rod,Yes,3,"Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
pikachu-alola-cap,Static,No,1,Has a 30% chance of paralyzing attacking Pokémon on contact.
pikachu-alola-cap,Lightning Rod,Yes,3,"Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
raichu-alola,Surge Surfer,No,1,Doubles this Pokémon's Speed on Electric Terrain.
sandshrew-alola,Snow Cloak,No,1,Increases evasion to 1.25× during hail.  Protects against hail damage.
sandshrew-alola,Slush Rush,Yes,3,"During Hail, this Pokémon has double Speed."
sandslash-alola,Snow Cloak,No,1,Increases evasion to 1.25× during hail.  Protects against hail damage.
sandslash-alola,Slush Rush,Yes,3,"During Hail, this Pokémon has double Speed."
vulpix-alola,Snow Cloak,No,1,Increases evasion to 1.25× during hail.  Protects against hail damage.
vulpix-alola,Snow Warning,Yes,3,Summons hail that lasts indefinitely upon entering battle.
ninetales-alola,Snow Cloak,No,1,Increases evasion to 1.25× during hail.  Protects against hail damage.
ninetales-alola,Snow Warning,Yes,3,Summons hail that lasts indefinitely upon entering battle.
diglett-alola,Sand Veil,No,1,Increases evasion to 1.25× during a sandstorm.  Protects against sandstorm damage.
diglett-alola,Tangling Hair,No,2,"When this Pokémon takes regular damage from a contact move, the attacking Pokémon's Speed lowers by one stage."
diglett-alola,Sand Force,Yes,3,"Strengthens rock, ground, and steel moves to 1.3× their power during a sandstorm.  Protects against sandstorm damage."
dugtrio-alola,Sand Veil,No,1,Increases evasion to 1.25× during a sandstorm.  Protects against sandstorm damage.
dugtrio-alola,Tangling Hair,No,2,"When this Pokémon takes regular damage from a contact move, the attacking Pokémon's Speed lowers by one stage."
dugtrio-alola,Sand Force,Yes,3,"Strengthens rock, ground, and steel moves to 1.3× their power during a sandstorm.  Protects against sandstorm damage."
meowth-alola,Pickup,No,1,Picks up other Pokémon's used and Flung held items.  May also pick up an item after battle.
meowth-alola,Technician,No,2,Strengthens moves of 60 base power or less to 1.5× their power.
meowth-alola,Rattled,Yes,3,"Raises Speed one stage upon being hit by a dark, ghost, or bug move."
persian-alola,Fur Coat,No,1,Halves damage from physical attacks.
persian-alola,Technician,No,2,Strengthens moves of 60 base power or less to 1.5× their power.
persian-alola,Rattled,Yes,3,"Raises Speed one stage upon being hit by a dark, ghost, or bug move."
geodude-alola,Magnet Pull,No,1,Prevents steel opponents from fleeing or switching out.
geodude-alola,Sturdy,No,2,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
geodude-alola,Galvanize,Yes,3,This Pokémon's Normal moves are Electric and have their power increased to 1.2×.
graveler-alola,Magnet Pull,No,1,Prevents steel opponents from fleeing or switching out.
graveler-alola,Sturdy,No,2,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
graveler-alola,Galvanize,Yes,3,This Pokémon's Normal moves are Electric and have their power increased to 1.2×.
golem-alola,Magnet Pull,No,1,Prevents steel opponents from fleeing or switching out.
golem-alola,Sturdy,No,2,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
golem-alola,Galvanize,Yes,3,This Pokémon's Normal moves are Electric and have their power increased to 1.2×.
grimer-alola,Poison Touch,No,1,Has a 30% chance of poisoning target Pokémon upon contact.
grimer-alola,Gluttony,No,2,Makes the Pokémon eat any held Berry triggered by low HP below 1/2 its max HP.
grimer-alola,Power Of Alchemy,Yes,3,"When an ally faints, this Pokémon gains its Ability."
muk-alola,Poison Touch,No,1,Has a 30% chance of poisoning target Pokémon upon contact.
muk-alola,Gluttony,No,2,Makes the Pokémon eat any held Berry triggered by low HP below 1/2 its max HP.
muk-alola,Power Of Alchemy,Yes,3,"When an ally faints, this Pokémon gains its Ability."
exeggutor-alola,Frisk,No,1,Reveals an opponent's held item upon entering battle.
exeggutor-alola,Harvest,Yes,3,Has a 50% chance of restoring a used Berry after each turn if the Pokémon has held no items in the meantime.
marowak-alola,Cursed Body,No,1,Has a 30% chance of Disabling any move that hits the Pokémon.
marowak-alola,Lightning Rod,No,2,"Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
